id,name,year,pageRank,citedBy,noOfCites
4958179,a,1990,2.5307,5608478,2
4958179,a,1990,2.5307,5765068,2
5608478,b1,1997,3.0302,5805947,21
5608478,b1,1997,3.0302,5819127,21
5608478,b1,1997,3.0302,5822639,21
5608478,b1,1997,3.0302,5822640,21
5608478,b1,1997,3.0302,5860033,21
5608478,b1,1997,3.0302,5867742,21
5608478,b1,1997,3.0302,5892990,21
5765068,b2,1998,1.0312,6151455,9
5765068,b2,1998,1.0312,6176626,9
5765068,b2,1998,1.0312,D452519,9
5805947,c1,1998,1.5399,6350067,10
5805947,c1,1998,1.5399,6595702,10
5805947,c1,1998,1.5399,D474797,10
5819127,c2,1998,0.9172,5915140,7
5819127,c2,1998,0.9172,6031996,7
5822639,c3,1998,0.6072,NA,1
5822640,c4,1998,0.6609,5943510,2
5860033,c5,1999,0.7411,6160958,7
5860033,c5,1999,0.7411,6175690,7
5867742,c6,1999,0.7411,5983026,7
5867742,c6,1999,0.7411,6099172,7
5892990,c7,1999,0.8594,7415201,3
6151455,c8,2000,1.814,6347893,9
6151455,c8,2000,1.814,6398426,9
6151455,c8,2000,1.814,6424803,9
6176626,c9,2001,0.5,NA,0
D452519,c10,2001,0.5823,D492953,3
6350067,d1,2002,0.5278,NA,1
6595702,d2,2003,0.5,NA,0
D474797,d3,2003,0.8593,NA,5
5915140,d4,1999,0.6596,NA,2
6031996,d5,2000,0.5572,NA,2
5943510,d6,1999,0.6406,NA,2
6160958,d7,2000,0.6953,NA,3
6175690,d8,2001,0.5588,NA,2
5983026,d9,1999,0.5147,NA,1
6099172,d10,2000,0.6786,NA,4
7415201,d11,2008,0.8281,NA,2
6347893,d12,2002,2.991,NA,42
6398426,d13,2002,2.991,NA,5
6424803,d14,2002,0.6846,NA,4
D492953,d15,2004,0.6191,NA,4